epoch,accuracy,loss,val_accuracy,val_loss
0,0.7239999771118164,0.895151674747467,0.8737499713897705,0.3009261190891266
1,0.8330000042915344,0.3945408761501312,0.8037499785423279,0.4693797826766968
2,0.8709999918937683,0.3693791925907135,0.8987500071525574,0.26081719994544983
3,0.9010000228881836,0.2763359844684601,0.6937500238418579,1.0036811828613281
4,0.9150000214576721,0.2238074690103531,0.9075000286102295,0.2695821225643158
5,0.9290000200271606,0.1894344836473465,0.8700000047683716,0.34899666905403137
6,0.9409999847412109,0.1727454960346222,0.8924999833106995,0.39231765270233154
7,0.9359999895095825,0.15386785566806793,0.9049999713897705,0.3070845901966095
8,0.9490000009536743,0.13509957492351532,0.8587499856948853,0.6300792694091797
9,0.9620000123977661,0.10475265979766846,0.8537499904632568,0.763836681842804
